0
sleep_start
loc_dist_ep_3
audio_convo_num_ep_0
loc_dist_ep_2
act_unknown_ep_0
audio_convo_duration_ep_2
act_still_ep_0
audio_convo_num_ep_2
loc_dist_ep_4
audio_convo_duration_ep_3
audio_convo_num_ep_4
act_on foot_ep_3
act_walking_ep_0
act_on foot_ep_0
loc_dist_ep_1
act_unknown_ep_2
act_on foot_ep_2
unlock_duration_ep_0
act_unknown_ep_4
audio_convo_duration_ep_0
loc_dist_ep_0
unlock_duration_ep_2
sleep_end
