0
ema_Mood_happy
ema_Mood_sad
ema_Stress_level
ema_Sleep_hour
ema_Sleep_social
act_still_ep_3
act_unknown_ep_0
act_unknown_ep_3
act_on foot_ep_2
audio_convo_num_ep_0
audio_convo_num_ep_1
audio_convo_num_ep_3
loc_dist_ep_1
loc_dist_ep_3
sleep_end
unlock_duration_ep_2
